(2021-02-14 13:42:55.637389) INFO: Attempting to install git (version 2.30.1-1)
(2021-02-17 11:30:57.217511) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:31:26.378418) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:31:45.232590) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:32:08.041698) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:32:31.234113) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:32:38.671851) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:33:22.863126) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:33:42.726238) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:33:51.945311) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:34:25.835494) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:34:40.299312) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:39:28.823743) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:39:39.741738) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:40:16.568699) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:40:25.904241) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:41:57.554319) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:42:06.612448) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:21.733214) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
(2021-02-17 11:43:29.411402) INFO: Attempting to install pacman (version 5.2.2-2)
